,STATION,DATE,PRCP,TMAX,TMIN
5845,USW00012918,1/1/1989,0,66,49
5846,USW00012918,1/2/1989,0,74,58
5847,USW00012918,1/3/1989,0,82,62
5848,USW00012918,1/4/1989,0,65,51
5849,USW00012918,1/5/1989,0,78,60
5850,USW00012918,1/6/1989,0,80,65
5851,USW00012918,1/7/1989,0,78,69
5852,USW00012918,1/8/1989,0,70,48
5853,USW00012918,1/9/1989,0.36,48,44
5854,USW00012918,1/10/1989,0,60,45
5855,USW00012918,1/11/1989,0.01,78,54
5856,USW00012918,1/12/1989,0.07,79,46
5857,USW00012918,1/13/1989,0.2,48,42
5858,USW00012918,1/14/1989,0.05,43,36
5859,USW00012918,1/15/1989,0,65,33
5860,USW00012918,1/16/1989,0,53,43
5861,USW00012918,1/17/1989,0,56,43
5862,USW00012918,1/18/1989,2.24,66,55
5863,USW00012918,1/19/1989,1.06,61,58
5864,USW00012918,1/20/1989,0.46,65,19
5865,USW00012918,1/21/1989,0,58,40
5866,USW00012918,1/22/1989,0,60,36
5867,USW00012918,1/23/1989,0,65,43
5868,USW00012918,1/24/1989,0.03,72,56
5869,USW00012918,1/25/1989,0,75,65
5870,USW00012918,1/26/1989,0.82,77,56
5871,USW00012918,1/27/1989,0,61,55
5872,USW00012918,1/28/1989,0.14,72,61
5873,USW00012918,1/29/1989,0.64,68,55
5874,USW00012918,1/30/1989,0.27,69,52
5875,USW00012918,1/31/1989,0,73,51
5876,USW00012918,2/1/1989,0,81,62
5877,USW00012918,2/2/1989,0,77,68
5878,USW00012918,2/3/1989,0.14,72,28
5879,USW00012918,2/4/1989,0,28,24
5880,USW00012918,2/5/1989,0.09,31,28
5881,USW00012918,2/6/1989,0.04,31,25
5882,USW00012918,2/7/1989,0,31,26
5883,USW00012918,2/8/1989,0,47,29
5884,USW00012918,2/9/1989,0,53,37
5885,USW00012918,2/10/1989,0,57,37
5886,USW00012918,2/11/1989,0.02,59,51
5887,USW00012918,2/12/1989,0.01,74,57
5888,USW00012918,2/13/1989,0,75,67
5889,USW00012918,2/14/1989,0,77,69
5890,USW00012918,2/15/1989,0,75,69
5891,USW00012918,2/16/1989,0.02,70,53
5892,USW00012918,2/17/1989,0,58,50
5893,USW00012918,2/18/1989,0.02,52,46
5894,USW00012918,2/19/1989,0,57,45
5895,USW00012918,2/20/1989,0.25,73,57
5896,USW00012918,2/21/1989,0.01,62,46
5897,USW00012918,2/22/1989,0,62,42
5898,USW00012918,2/23/1989,0,54,35
5899,USW00012918,2/24/1989,0,53,39
5900,USW00012918,2/25/1989,0,68,50
5901,USW00012918,2/26/1989,0,74,55
5902,USW00012918,2/27/1989,0,76,59
5903,USW00012918,2/28/1989,0,60,52
5904,USW00012918,3/1/1989,0.13,56,51
5905,USW00012918,3/2/1989,0.12,63,51
5906,USW00012918,3/3/1989,0,75,59
5907,USW00012918,3/4/1989,0.02,73,31
5908,USW00012918,3/5/1989,0,41,27
5909,USW00012918,3/6/1989,0,47,26
5910,USW00012918,3/7/1989,0,53,29
5911,USW00012918,3/8/1989,0,54,35
5912,USW00012918,3/9/1989,0,70,36
5913,USW00012918,3/10/1989,0,76,42
